gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
MAD1L1	DunedinPACE	30	7.30557431893842e-13	0.0351184473244389	7	23	1
PRDM16	DunedinPACE	22	9.19881016683719e-12	0.0333906039772704	0	22	2
MCF2L	DunedinPACE	17	8.57955477414638e-12	0.035549714473857	0	17	3
PTPRN2	DunedinPACE	16	6.1309009687847e-10	0.0267287262432804	1	15	4
RPTOR	DunedinPACE	15	1.84349238411631e-10	0.0358468197703842	4	11	5
HDAC4	DunedinPACE	13	4.18129437172957e-17	0.0594101406199248	5	8	6
ABR	DunedinPACE	13	8.95840707079398e-15	0.0503530344952446	1	12	7
KCNQ1	DunedinPACE	13	1.32307675238098e-10	0.037537477848036	0	13	8
NCOR2	DunedinPACE	13	4.30608077380364e-10	0.044594383303581	0	13	9
DIP2C	DunedinPACE	12	9.37198356407235e-11	0.0375330244166903	1	11	10
TBCD	DunedinPACE	11	4.47548650625483e-13	0.0473319176871853	4	7	11
AC131097.3	DunedinPACE	11	1.19517870406128e-09	0.0265022438489178	4	7	12
SKI	DunedinPACE	10	6.91006061234693e-19	0.0265500036962733	5	5	13
RASA3	DunedinPACE	10	9.72131272902183e-15	0.0286800102759207	3	7	14
C7orf50	DunedinPACE	10	4.82574062150255e-11	0.037672446236078	0	10	15
INPP5A	DunedinPACE	9	4.25018298043197e-10	0.0355531374628829	1	8	16
NFATC1	DunedinPACE	8	5.26371846808373e-09	0.0388760493161052	2	6	17
PRKCZ	DunedinPACE	8	1.11049356849526e-08	0.0338113509787144	2	6	18
PRKAR1B	DunedinPACE	8	4.88222171106101e-07	0.038538077409124	0	8	19
RPS6KA2	DunedinPACE	7	4.56209188068224e-50	0.0769454535415064	3	4	20
BANP	DunedinPACE	7	6.5582649903713e-16	0.0463871325322598	3	4	21
SBNO2	DunedinPACE	7	1.29009180670881e-15	0.0399714712219216	0	7	22
TNXB	DunedinPACE	7	4.27945787892487e-14	0.021034023904462	0	7	23
CCDC88C	DunedinPACE	7	3.76077443294512e-13	0.0354665159568804	4	3	24
DENND3	DunedinPACE	7	2.23857242497704e-12	0.0519862409874932	1	6	25
SEPT9	DunedinPACE	7	2.54427606940516e-10	0.0521398205440952	3	4	26
SHANK2	DunedinPACE	7	3.54032622313927e-10	0.0308861345487458	0	7	27
LRP5	DunedinPACE	7	1.4028641873654e-09	0.0367890078295641	0	7	28
ATP10A	DunedinPACE	7	2.34045994884814e-08	0.0333297219139866	0	7	29
FBRSL1	DunedinPACE	7	7.35485506527319e-08	0.0227283096123454	0	7	30
ERICH1-AS1	DunedinPACE	7	1.52394990929835e-06	0.0367212016965547	0	7	31
CUX1	DunedinPACE	6	2.38300246738915e-19	0.0610106404814209	0	6	32
SYNPO	DunedinPACE	6	8.42581388053711e-16	0.0322364167949941	0	6	33
CMIP	DunedinPACE	6	1.71165346228124e-13	0.0523331059805882	1	5	34
RARA	DunedinPACE	6	5.97072549399768e-13	0.0359119766608677	0	6	35
SLC45A4	DunedinPACE	6	6.58505363100286e-13	0.0441940680297315	1	5	36
RAI1	DunedinPACE	6	1.50239339125031e-12	0.05241426237975	0	6	37
HIVEP3	DunedinPACE	6	1.01532779100415e-11	0.0341120830046789	0	6	38
PIK3CD	DunedinPACE	6	1.13815092704257e-11	0.0409403039087635	3	3	39
NFIA	DunedinPACE	6	2.20649498184166e-11	0.0348822473495225	0	6	40
ZMIZ1	DunedinPACE	6	8.52894235119451e-11	0.0347235762732541	0	6	41
FOXK1	DunedinPACE	6	2.04045179455164e-10	0.0488544471204355	2	4	42
RPH3AL	DunedinPACE	6	4.14233324347709e-10	0.0480899903801796	2	4	43
TMCO3	DunedinPACE	6	7.89543087643595e-10	0.0611089065485899	1	5	44
KIAA0513	DunedinPACE	6	3.85033830523035e-09	0.0468782989871188	1	5	45
XXYLT1	DunedinPACE	6	4.37374584058767e-09	0.0487441732030391	1	5	46
ANKRD11	DunedinPACE	6	7.40577678794547e-09	0.0359614591418922	3	3	47
TSNARE1	DunedinPACE	6	2.29931377775194e-07	0.0365268405581246	0	6	48
ERICH1	DunedinPACE	6	1.50107349504524e-06	0.0472079475223179	0	6	49
SLC43A2	DunedinPACE	5	2.03059529388583e-19	0.0718382099810182	0	5	50
CBFA2T3	DunedinPACE	5	2.08674656212093e-16	0.0368767518647952	0	5	51
ITM2C	DunedinPACE	5	4.09580792259911e-15	0.0669348687624478	1	4	52
PLEC	DunedinPACE	5	8.32940364850196e-15	0.0472973621686144	1	4	53
OSBPL5	DunedinPACE	5	1.24124260505515e-13	0.0589959048135059	0	5	54
AHRR	DunedinPACE	5	1.53126362876101e-13	0.0386247305954065	1	4	55
STK24	DunedinPACE	5	3.34373323205984e-13	0.0530700778810152	2	3	56
RGS12	DunedinPACE	5	4.62661981232937e-13	0.0256901024400781	1	4	57
AMZ1	DunedinPACE	5	1.52471859972462e-12	0.0353932703920052	1	4	58
LPCAT1	DunedinPACE	5	8.38529263586771e-12	0.0528254150601165	0	5	59
PFKP	DunedinPACE	5	1.97400324480191e-11	0.0339167670048701	1	4	60
DNAJB6	DunedinPACE	5	3.18635880678229e-11	0.0306332841840515	0	5	61
ARHGAP27	DunedinPACE	5	3.36264164002197e-11	0.0488640473999396	0	5	62
PLEKHG5	DunedinPACE	5	3.74937000386156e-11	0.0378700713141766	0	5	63
RAP1GAP2	DunedinPACE	5	6.43442566786343e-11	0.0515295724630363	0	5	64
HOXB-AS3, HOXB3	DunedinPACE	5	1.53346583115063e-10	0.0438832881098717	0	5	65
MAEA	DunedinPACE	5	1.72620619848864e-10	0.0511396942305413	2	3	66
ACSF3	DunedinPACE	5	7.55292799237435e-10	0.0275208457853348	1	4	67
GNG7	DunedinPACE	5	1.28966632913176e-09	0.0502761705717654	1	4	68
LMNA	DunedinPACE	5	8.32398658152933e-09	0.0263047040984557	0	5	69
ADAP1, COX19	DunedinPACE	5	1.22739728256406e-08	0.0482855208864482	0	5	70
PWWP2B	DunedinPACE	5	1.23936930646588e-08	0.0514583959698224	1	4	71
PTPRE	DunedinPACE	5	1.43941163832955e-08	0.0443421958616384	0	5	72
MYT1L	DunedinPACE	5	7.72049344173164e-08	0.025311516948061	0	5	73
EBF3	DunedinPACE	5	2.36266155868252e-07	0.0192591207291626	1	4	74
TRAPPC9	DunedinPACE	5	3.91102810986793e-07	0.0260434175991802	0	5	75
PRKAG2	DunedinPACE	5	6.40857091966177e-07	0.0715634033975074	0	5	76
B3GNTL1	DunedinPACE	5	8.67284752906506e-07	0.0411552330232979	0	5	77
TTC40	DunedinPACE	5	1.35102371823309e-06	0.0169695152750141	0	5	78
ATP11A	DunedinPACE	5	1.40441819701233e-06	0.0275846989311829	0	5	79
ESR1	DunedinPACE	5	2.90449659253752e-06	0.0505465959093225	0	5	80
MGMT	DunedinPACE	5	7.45132009663601e-05	0.0221339254873409	1	4	81
AGAP1	DunedinPACE	5	0.000172489102541184	0.0153548475726291	0	5	82
MACF1	DunedinPACE	4	4.58194873702592e-24	0.0385615803424556	0	4	83
GPR124	DunedinPACE	4	5.16104620759899e-22	0.0339856710097666	0	4	84
ARID3A	DunedinPACE	4	5.94891107827769e-22	0.0461645936536432	0	4	85
CUEDC1	DunedinPACE	4	6.19087922754983e-18	0.0304740982423591	0	4	86
DGKZ	DunedinPACE	4	1.07550582563688e-17	0.0195298995084996	0	4	87
MSI2	DunedinPACE	4	1.75338634781736e-17	0.0436870465332215	1	3	88
MEGF6	DunedinPACE	4	3.0902921527704e-17	0.0472268908206093	0	4	89
ERCC1	DunedinPACE	4	1.06583322200793e-15	0.0245852134885619	0	4	90
SLC44A4	DunedinPACE	4	1.09120695837031e-15	0.0235754657942117	0	4	91
AHDC1	DunedinPACE	4	1.46170438044486e-14	0.0478259961248663	0	4	92
ZNF423	DunedinPACE	4	1.57552559333845e-13	0.0409673690145425	0	4	93
KAZN	DunedinPACE	4	1.04510730501189e-12	0.0228762968545888	2	2	94
RP11-753H16.3, RP11-753H16.5, ZNF385A	DunedinPACE	4	6.30483720915071e-12	0.0805609969189514	0	4	95
VAC14	DunedinPACE	4	9.62808153845489e-12	0.0379327641821057	3	1	96
GAS7	DunedinPACE	4	3.50978957419627e-11	0.0514228566317686	1	3	97
COL11A2	DunedinPACE	4	6.33913937145523e-11	0.0224390402100039	0	4	98
SH3TC1	DunedinPACE	4	6.70433431690266e-11	0.0493557247765054	0	4	99
CAMTA1	DunedinPACE	4	1.40831984853987e-10	0.0450905960135195	0	4	100
TNS3	DunedinPACE	4	1.66435201067326e-10	0.0474195094643886	2	2	101
ZFPM1	DunedinPACE	4	2.42903205751175e-10	0.0299929474258397	1	3	102
LIMCH1	DunedinPACE	4	2.83330176795458e-10	0.0503462987195784	0	4	103
ARHGEF10	DunedinPACE	4	2.90125134728337e-10	0.0836539022880265	1	3	104
SLC38A10	DunedinPACE	4	4.62248196674879e-10	0.0410973923276729	1	3	105
