gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
PTPRN2	Hannum	62	8.99871965973415e-06	0.000557437687744487	1	61	1
MAD1L1	Hannum	41	1.37460124835897e-05	0.000464988159942526	0	41	2
PRDM16	Hannum	38	3.76720294154808e-05	0.00050878339089399	1	37	3
DIP2C	Hannum	35	2.07446908983562e-06	0.000586314197105979	0	35	4
MCF2L	Hannum	30	8.45590579969483e-06	0.000499120560626045	0	30	5
INPP5A	Hannum	30	1.69266732425034e-05	0.00040550111011541	0	30	6
RPTOR	Hannum	27	0.000198899090345733	0.000520270477630949	0	27	7
HDAC4	Hannum	26	6.51146117289035e-05	0.000618057578044582	1	25	8
SDK1	Hannum	24	3.4750928360431e-06	0.000561408409483378	2	22	9
ATP11A	Hannum	23	2.30730975923133e-05	0.000443429844140663	0	23	10
ARHGEF10	Hannum	22	3.1668008406156e-05	0.000569480946665868	1	21	11
KCNQ1	Hannum	21	9.99256897831433e-06	0.000564729686929938	0	21	12
TBCD	Hannum	19	1.01957759632697e-05	0.000410922160714821	2	17	13
PRKCZ	Hannum	19	5.00334014856787e-05	0.00057875316120405	0	19	14
ERICH1-AS1	Hannum	18	2.50524657349788e-06	0.000510138065130039	0	18	15
NCOR2	Hannum	18	2.85154463859084e-05	0.000550128059937481	2	16	16
ADARB2	Hannum	17	2.18673738010533e-05	0.000551642403497859	0	17	17
FOXK1	Hannum	16	2.73943773425533e-07	0.000576987757087542	1	15	18
MGMT	Hannum	16	3.36718697944462e-05	0.000446663462066543	0	16	19
SHANK2	Hannum	15	9.59223775262213e-06	0.000690300363739551	1	14	20
NFATC1	Hannum	15	2.00101586309197e-05	0.000580447672996696	1	14	21
CUX1	Hannum	15	3.21745000210137e-05	0.000546852998813284	0	15	22
AC131097.3	Hannum	15	4.51916168997232e-05	0.000571823964957869	1	14	23
PRKAR1B	Hannum	15	0.000148927765372796	0.000360314616246122	1	14	24
RASA3	Hannum	15	0.000177581923584487	0.000455560410075619	0	15	25
BANP	Hannum	14	1.94819503945749e-05	0.000503934947217932	1	13	26
B3GNTL1	Hannum	14	2.94379353353666e-05	0.000638611750997068	0	14	27
AGAP1	Hannum	14	3.76358112170409e-05	0.000456862843862905	0	14	28
TSNARE1	Hannum	14	9.15618133709748e-05	0.000530071957632446	0	14	29
EBF3	Hannum	13	1.53502306375005e-05	0.000376693193845352	0	13	30
AGO2	Hannum	13	3.03147127619019e-05	0.00053797049870384	0	13	31
LRP5	Hannum	12	3.5075311086327e-06	0.000557163537372504	0	12	32
SMOC2	Hannum	12	3.75896226206302e-06	0.000513259872515147	0	12	33
LMF1	Hannum	12	1.80059519880618e-05	0.000481339808446706	0	12	34
TRAPPC9	Hannum	12	5.1092227594456e-05	0.000508744238700129	0	12	35
GAK	Hannum	12	6.06328606334738e-05	0.000405331011827772	0	12	36
HEATR2	Hannum	12	0.000363290103317087	0.000445722280660057	0	12	37
SLC45A4	Hannum	11	2.88844353914164e-05	0.000693391711797946	0	11	38
LPCAT1	Hannum	11	3.28002295275891e-05	0.000879592262195904	0	11	39
FBRSL1	Hannum	11	5.22100139825956e-05	0.000378389118296174	1	10	40
C7orf50	Hannum	11	8.80272876118185e-05	0.000468151342754516	0	11	41
TTC40	Hannum	11	0.000128956542960898	0.00040462003612824	0	11	42
RPS6KA2	Hannum	11	0.000132897070448737	0.000621423819859191	1	10	43
RGS12	Hannum	10	1.27945653622801e-05	0.000509429283606531	0	10	44
GOLGA3	Hannum	10	3.03147127619019e-05	0.000407528016824932	0	10	45
TBC1D16	Hannum	10	8.28657934652363e-05	0.000487099433913629	0	10	46
TRAPPC12	Hannum	10	0.000171345097543463	0.000355035813564931	0	10	47
GALNT9	Hannum	10	0.000302649601870604	0.000605296121720652	0	10	48
SBNO2	Hannum	9	1.11228863870228e-07	0.000569533294464397	0	9	49
SUN1	Hannum	9	3.70856518403437e-06	0.000569231752798141	2	7	50
OBSCN	Hannum	9	1.37103212088559e-05	0.000504280412716035	0	9	51
SLC12A7	Hannum	9	1.51931927214998e-05	0.000527248191381877	0	9	52
TSSC1	Hannum	9	4.88929850461254e-05	0.000459770124487921	0	9	53
RAB11FIP3	Hannum	9	5.23353690692342e-05	0.000494568595197027	0	9	54
ZCCHC14	Hannum	9	5.7731891139216e-05	0.000582575275924928	0	9	55
PFKP	Hannum	9	7.25515493475489e-05	0.000543307456886759	0	9	56
TRRAP	Hannum	9	8.30973463483969e-05	0.000414288045969391	0	9	57
CTD-2281E23.2	Hannum	9	0.000105247832970891	0.000724548594063057	0	9	58
IQCE	Hannum	9	0.000117055536117024	0.000476654012375873	0	9	59
ANKRD11	Hannum	9	0.000162989728245309	0.000419488673409605	0	9	60
ABR	Hannum	9	0.000195056123349943	0.000668784315885666	0	9	61
TP73	Hannum	8	3.93039882017163e-06	0.00111033724811692	1	7	62
TMCO3	Hannum	8	1.46401115119696e-05	0.000675142639244151	0	8	63
RP11-426C22.5	Hannum	8	3.3961297073274e-05	0.000735772605506337	0	8	64
TERT	Hannum	8	4.21366173113294e-05	0.000525278584077029	0	8	65
ACOX3	Hannum	8	6.62687970879322e-05	0.000451565089100524	0	8	66
PXDN	Hannum	8	6.91171002526707e-05	0.000477898335322439	0	8	67
DENND3	Hannum	8	7.91094035903989e-05	0.000617966900597867	0	8	68
SKI	Hannum	8	9.58777956135574e-05	0.000470202021652926	1	7	69
ARHGAP39	Hannum	8	0.000106690235250981	0.000427320997690462	0	8	70
MEGF6	Hannum	8	0.000110658360481522	0.000561615068133155	0	8	71
ERICH1	Hannum	8	0.000157206129805545	0.000436683601455236	0	8	72
CYFIP1	Hannum	8	0.000164024570673714	0.000419132519307759	0	8	73
KNDC1	Hannum	8	0.000164207426165134	0.000420221950847724	1	7	74
TNRC18	Hannum	8	0.000227259259188966	0.00039642769143093	0	8	75
KDM4B	Hannum	8	0.000314663415009964	0.000486113009349073	0	8	76
INTS1	Hannum	8	0.000739864797373446	0.000756165426147697	0	8	77
UNKL	Hannum	8	0.000781700892906143	0.00037246640160896	0	8	78
SLC43A2	Hannum	7	2.18545408062701e-06	0.00127663099603389	0	7	79
RIMBP2	Hannum	7	3.33196366490038e-06	0.000515184866157902	0	7	80
TFDP1	Hannum	7	6.45566759250161e-06	0.000665406271506102	0	7	81
GABBR1	Hannum	7	8.56837315685872e-06	0.00051214529955205	0	7	82
CASZ1	Hannum	7	1.01519791603468e-05	0.000568196990674247	0	7	83
RPH3AL	Hannum	7	1.16780211670548e-05	0.000493794535960021	0	7	84
SNHG14	Hannum	7	1.33787896167738e-05	0.000664356986071598	0	7	85
UVSSA	Hannum	7	1.39273224768457e-05	0.000400551986781457	0	7	86
