gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
PTPRN2	Horvath	60	4.50439847311822e-05	0.000403900404375893	0	60	1
PRDM16	Horvath	40	5.34029063586198e-06	0.000374602174617955	1	39	2
MAD1L1	Horvath	36	6.14356990750667e-05	0.000403203291750213	0	36	3
DIP2C	Horvath	33	0.000100315330509413	0.000455356240299988	1	32	4
MCF2L	Horvath	30	2.02264462294552e-05	0.000365038221389052	1	29	5
INPP5A	Horvath	30	8.31926353181368e-05	0.000343358961155076	1	29	6
ATP11A	Horvath	18	4.27647303735567e-05	0.000286539141239763	0	18	7
RPTOR	Horvath	18	4.57829839307482e-05	0.000388693201814977	0	18	8
PRKCZ	Horvath	18	0.000106152830753682	0.000419818853644023	0	18	9
SDK1	Horvath	17	4.25536801959933e-05	0.000365352281264086	1	16	10
KCNQ1	Horvath	16	7.28882801596278e-05	0.000470529949427843	0	16	11
ADARB2	Horvath	15	3.59015020674471e-05	0.000454709343661076	0	15	12
ARHGEF10	Horvath	15	0.000137478336744337	0.000343419286746212	2	13	13
ERICH1-AS1	Horvath	15	0.000151183547465478	0.000390972054517621	0	15	14
TBCD	Horvath	15	0.000190816355860645	0.000333108786056792	2	13	15
SHANK2	Horvath	14	5.38571613396572e-05	0.000591633996830312	2	12	16
HDAC4	Horvath	14	0.000121095697694572	0.000275875351156311	0	14	17
MGMT	Horvath	13	0.000103948660349263	0.000445808323139934	0	13	18
LRP5	Horvath	13	0.000135134756914105	0.000400314347107314	0	13	19
TRAPPC9	Horvath	12	2.73832538828162e-05	0.000389820705180149	0	12	20
RASA3	Horvath	12	2.92758456081847e-05	0.00026540847537285	0	12	21
TTC40	Horvath	12	5.8702398373763e-05	0.00035837248627587	0	12	22
AC131097.3	Horvath	12	7.69378285397292e-05	0.000384328805637769	0	12	23
SLC12A7	Horvath	12	0.000138222513749722	0.000398517739214223	0	12	24
AGO2	Horvath	11	1.35822051246832e-05	0.000337609234606016	0	11	25
RPS6KA2	Horvath	10	2.82196147336657e-05	0.000466971392926603	1	9	26
GPR133	Horvath	10	4.4369762899621e-05	0.000537371632108531	0	10	27
DNAH17	Horvath	10	4.72904611975092e-05	0.00038906422784446	0	10	28
TBC1D16	Horvath	10	6.2231868558989e-05	0.00037947904942636	0	10	29
LMF1	Horvath	10	9.3345534773066e-05	0.00033635268679166	0	10	30
NFATC1	Horvath	10	0.000119910021716867	0.000454688177915077	0	10	31
HEATR2	Horvath	10	0.000225145714026398	0.000340552315314224	0	10	32
PRKAR1B	Horvath	10	0.00026514212957686	0.000403245708381823	1	9	33
TSNARE1	Horvath	10	0.000725179169176292	0.000335225109565358	0	10	34
RGS12	Horvath	9	4.25536801959933e-05	0.000400066969115808	0	9	35
TSSC1	Horvath	9	6.07232198938789e-05	0.000352857665165891	0	9	36
SMOC2	Horvath	9	9.80440561485149e-05	0.00041538693545653	0	9	37
CBFA2T3	Horvath	9	0.00014642811540337	0.000528313587149016	2	7	38
C7orf50	Horvath	9	0.000239188908959997	0.000413959483336278	1	8	39
GAK	Horvath	9	0.000240250495150414	0.000359271725399028	0	9	40
NXN	Horvath	9	0.000280524470410547	0.000455741427112269	0	9	41
DLGAP2	Horvath	9	0.000349663753716996	0.000394538029153873	0	9	42
SNHG14	Horvath	9	0.000398638282345633	0.000612960369892735	0	9	43
TERT	Horvath	8	5.34413061504764e-05	0.000417203616544213	0	8	44
GPR123	Horvath	8	0.000114659246689444	0.000336883099641656	1	7	45
OBSCN	Horvath	8	0.00014122460598737	0.000399139058786988	0	8	46
STK32C	Horvath	8	0.000173488153198924	0.000364693615101772	0	8	47
FAM53A	Horvath	8	0.000243680986329399	0.000357184585438607	0	8	48
GALNT9	Horvath	8	0.00028272113955552	0.000532430721467772	0	8	49
RP11-426C22.5	Horvath	7	7.68339011073819e-06	0.000496350896766037	0	7	50
LPCAT1	Horvath	7	3.57318629774996e-05	0.000539118969239772	0	7	51
MEGF6	Horvath	7	4.20963455411035e-05	0.000437755544466427	0	7	52
AGAP1	Horvath	7	5.94952096994215e-05	0.000285778537786894	0	7	53
TRAPPC12	Horvath	7	0.00011429253228537	0.000243970706870986	0	7	54
CYFIP1	Horvath	7	0.000146780573838282	0.000389009620556246	0	7	55
IQCE	Horvath	7	0.000153709828801867	0.000283645347549726	0	7	56
EBF3	Horvath	7	0.000157756110262696	0.000310821645555127	0	7	57
NCOR2	Horvath	7	0.000182601942428558	0.000262816652601314	1	6	58
PACS2	Horvath	7	0.000294063649464651	0.000333734338439895	0	7	59
BANP	Horvath	7	0.000294546994336177	0.000304124792624925	0	7	60
CARD11	Horvath	7	0.000309541915941218	0.000242876047626214	1	6	61
AHRR	Horvath	7	0.000388851741985401	0.000693986666556153	0	7	62
