gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
PTPRN2	PhenoAge	64	1.01509355176469e-09	0.000348418921151284	1	63	1
MAD1L1	PhenoAge	58	1.21074037782909e-09	0.000406282233829411	1	57	2
RPTOR	PhenoAge	37	1.25451929213344e-07	0.000443345683574994	1	36	3
HDAC4	PhenoAge	35	1.41699831346762e-07	0.000447254398490048	1	34	4
MCF2L	PhenoAge	33	1.20455129102165e-13	0.000344803602045021	0	33	5
INPP5A	PhenoAge	32	5.68251457880846e-09	0.000371485948431923	2	30	6
DIP2C	PhenoAge	32	7.57762870174712e-08	0.000412050109544392	0	32	7
PRDM16	PhenoAge	31	4.4276459658204e-09	0.000320685008479298	2	29	8
NCOR2	PhenoAge	24	3.33268639013666e-08	0.000539431538098737	1	23	9
ATP11A	PhenoAge	23	7.62501077556386e-08	0.000314641890896982	0	23	10
TBCD	PhenoAge	23	9.16237328755918e-07	0.000367522431386639	1	22	11
BANP	PhenoAge	20	8.44420809275529e-11	0.00038240125984588	1	19	12
ABR	PhenoAge	20	6.14859710029873e-09	0.000576553244945671	2	18	13
CUX1	PhenoAge	20	1.83348107980701e-08	0.000598800562124262	0	20	14
ERICH1-AS1	PhenoAge	20	1.8846698998335e-07	0.000308532682936884	0	20	15
RASA3	PhenoAge	19	1.88572247711113e-06	0.000301204261752066	2	17	16
C7orf50	PhenoAge	18	1.25746499949399e-07	0.000414739961663689	0	18	17
TRAPPC9	PhenoAge	18	1.58917388777269e-07	0.000405660177283665	0	18	18
MGMT	PhenoAge	18	6.85206416324966e-06	0.000306034363398383	0	18	19
PRKCZ	PhenoAge	17	8.56291261951782e-08	0.000449836149615912	0	17	20
PRKAR1B	PhenoAge	17	7.72332158460028e-07	0.000416500872985661	0	17	21
AGAP1	PhenoAge	17	5.06535882650269e-06	0.000316131093801132	2	15	22
GAK	PhenoAge	17	5.52344004061315e-06	0.000306160548177148	0	17	23
EBF3	PhenoAge	15	4.62055676997418e-06	0.000299179249315309	0	15	24
RPS6KA2	PhenoAge	14	3.82938815833779e-12	0.000519561428001627	1	13	25
KCNQ1	PhenoAge	14	1.05754170229168e-09	0.000431971468745703	0	14	26
FOXK1	PhenoAge	14	2.72191200383637e-09	0.000468872283360427	0	14	27
AC131097.3	PhenoAge	14	3.5637608997953e-07	0.000371528698526863	2	12	28
SLC45A4	PhenoAge	14	7.06076949680698e-07	0.000434122260691983	0	14	29
AGO2	PhenoAge	14	1.227064818617e-06	0.00043722025942604	1	13	30
ADARB2	PhenoAge	14	3.57902667713485e-06	0.000393437944584827	0	14	31
TMCO3	PhenoAge	13	6.31227623024694e-09	0.000615835227366402	0	13	32
HEATR2	PhenoAge	13	2.92723622701284e-08	0.00037952849064314	0	13	33
LRP5	PhenoAge	13	3.65639447564414e-08	0.000460824738652908	0	13	34
TSNARE1	PhenoAge	13	1.00177159988295e-07	0.000339288439100491	0	13	35
LPCAT1	PhenoAge	13	1.45651956974338e-07	0.000560848290708154	0	13	36
GPR123	PhenoAge	13	1.93876823298555e-07	0.000461849036634568	0	13	37
ARHGEF10	PhenoAge	13	3.96553286906199e-07	0.000602366574331342	1	12	38
B3GNTL1	PhenoAge	13	1.02125531456352e-06	0.000443581948582443	0	13	39
TTC40	PhenoAge	13	1.10993527107892e-05	0.000260691158362258	0	13	40
DENND3	PhenoAge	12	3.99374398087233e-10	0.000478535797598849	0	12	41
FBRSL1	PhenoAge	12	3.55808320940621e-08	0.0002838712342649	2	10	42
GOLGA3	PhenoAge	12	4.50917206097042e-08	0.000304846378433809	0	12	43
SHANK2	PhenoAge	12	1.8628620278824e-07	0.000421061245610822	0	12	44
SLC38A10	PhenoAge	12	1.89003612885257e-07	0.000446406341052338	0	12	45
TSSC1	PhenoAge	12	2.45404638821201e-07	0.000359082127448129	0	12	46
PCGF3	PhenoAge	12	2.5756442557067e-07	0.000362284236397589	0	12	47
SNHG14	PhenoAge	11	3.98284572101216e-08	0.000471301364079635	0	11	48
IQCE	PhenoAge	11	5.43895876336199e-08	0.000383362547857688	0	11	49
TFDP1	PhenoAge	11	9.56793158298819e-08	0.000640386501674637	0	11	50
LMF1	PhenoAge	11	1.15956846501393e-07	0.000288088870901936	0	11	51
NFATC1	PhenoAge	11	1.1766753404737e-07	0.000429665396147783	1	10	52
ADAP1, COX19	PhenoAge	11	1.01390485144958e-06	0.000585757200350214	0	11	53
TRRAP	PhenoAge	11	1.08464649978661e-05	0.000293965567753118	0	11	54
TRAPPC12	PhenoAge	11	1.29615910102628e-05	0.000248928618012606	0	11	55
CASZ1	PhenoAge	10	6.26357177716434e-09	0.000365787558172198	0	10	56
RGS12	PhenoAge	10	1.72431791193121e-08	0.000347274523423885	0	10	57
SMOC2	PhenoAge	10	5.3194265077894e-08	0.000416917825151034	0	10	58
PRKAG2	PhenoAge	10	1.52688000785519e-07	0.000553146672442015	0	10	59
ERICH1	PhenoAge	10	1.94052139029181e-07	0.000421934667391238	0	10	60
WDR27	PhenoAge	10	4.40065237221934e-07	0.000439172905517473	0	10	61
RP11-1055B8.7	PhenoAge	10	6.30670435296715e-07	0.000608527523560468	1	9	62
SKI	PhenoAge	10	2.13411166093969e-06	0.000377033255961041	1	9	63
CARD11	PhenoAge	10	3.03119888687914e-06	0.000388757262665807	1	9	64
SDK1	PhenoAge	10	5.21877242615603e-06	0.000273213572129905	1	9	65
CMIP	PhenoAge	10	5.97285408657766e-06	0.000379334561666783	0	10	66
TNRC18	PhenoAge	10	7.92831605673975e-06	0.000298341183875902	0	10	67
GSE1	PhenoAge	10	1.31783561188643e-05	0.000513594090021364	0	10	68
SUN1	PhenoAge	10	1.55229808553395e-05	0.000275231310499035	1	9	69
SBNO2	PhenoAge	9	2.80859675079928e-10	0.000531895665032817	0	9	70
ZFPM1	PhenoAge	9	1.69167877050646e-09	0.000429257229282024	0	9	71
PLEC	PhenoAge	9	4.71413065935886e-09	0.000368075800258616	1	8	72
PFKP	PhenoAge	9	8.83992301392962e-08	0.000414640933574587	0	9	73
INTS1	PhenoAge	9	3.05996672405809e-07	0.000454512429852793	0	9	74
