from	to
A1BG	CD4
A1BG	CA6
A1BG	BST1
A1BG	CEACAM16
A1BG	BPIFB1
A1BG	CANT1
A1BG	CASQ2
A1BG	CCS
A1BG	CCND2
A1BG	C1S
A1BG	CAPG
A1BG	CAPG
A1BG	CELA3A
A1BG	AZU1
A1BG	ATRAID
AAMDC	AKR1B10
AAMDC	ADH1B
AAMDC	ATOX1
AAMDC	AKR1B1
AAMDC	ANXA3
AAMDC	AHCY
AAMDC	CA3
AAMDC	ANXA5
AAMDC	ADH4
AAMDC	ARG1
AAMDC	ATP6V1G1
AAMDC	GSTT2B
AAMDC	CA13
AAMDC	ATP6V1G2
AAMDC	BLMH
AARSD1	CA2
AARSD1	CA1
AARSD1	ANXA1
AARSD1	ACP1
AARSD1	ACYP1
AARSD1	BLVRB
AARSD1	BOLA2
AARSD1	CA3
AARSD1	CAT
AARSD1	CAT
AARSD1	CAT
AARSD1	CELA2A
AARSD1	BPIFB2
AARSD1	AFM
AARSD1	CCT5
ABCA2	CDC42BPB
ABCA2	IGF2R
ABCA2	STAB2
ABCA2	FN1
ABCA2	TNC
ABCA2	CACNA1H
ABCA2	ARHGAP5
ABCA2	SDK2
ABCA2	EVPL
ABCA2	CSPG4
ABCA2	C5
ABCA2	ADAMTS13
ABCA2	ATRN
ABCA2	ESPL1
ABCA2	CADPS
ABHD14B	ARG1
ABHD14B	CA3
ABHD14B	ANXA5
ABHD14B	ATP6V1G1
ABHD14B	AKR1B10
ABHD14B	ANXA3
ABHD14B	ANXA1
ABHD14B	AAMDC
ABHD14B	AHCY
ABHD14B	ADH1B
ABHD14B	BHMT2
ABHD14B	CA1
ABHD14B	ACTA2
ABHD14B	ATP6V1G2
ABHD14B	CA13
ABL1	BRDT
ABL1	AXIN1
ABL1	ARNT
ABL1	BAG6
ABL1	BRD3
ABL1	CCAR2
ABL1	CCDC80
ABL1	BOC
ABL1	BCR
ABL1	ADD1
ABL1	ARHGEF10
ABL1	APP
ABL1	ADAMTSL4
ABL1	ARMCX2
ABL1	BRSK2
ABO	AGRN
ABO	APOB
ABO	CALB2
ABO	BTNL10
ABO	CEACAM20
ABO	C7orf50
ABO	CD177
ABO	BRAP
ABO	BRAP
ABO	AHNAK
ABO	ANP32C
ABO	ANK2
ABO	AHNAK2
ABO	ABRAXAS2
ABO	CBLN1
ABRAXAS2	AHNAK2
ABRAXAS2	CALY
ABRAXAS2	ASPN
ABRAXAS2	AHNAK
ABRAXAS2	CD177
ABRAXAS2	CBLIF
ABRAXAS2	ADGRG2
ABRAXAS2	CBLN1
ABRAXAS2	C7orf50
ABRAXAS2	ANP32C
ABRAXAS2	CEACAM20
ABRAXAS2	BTNL10
ABRAXAS2	BRAP
ABRAXAS2	BRAP
ABRAXAS2	CALB2
ACAA1	NAA10
ACAA1	TIMM10
ACAA1	TNPO1
ACAA1	SLC28A1
ACAA1	STOML2
ACAA1	GET3
ACAA1	SLC16A1
ACAA1	CLNS1A
ACAA1	PLSCR3
ACAA1	SLC51B
ACAA1	ARSB
ACAA1	ATXN10
ACAA1	BPIFB1
ACAA1	ARG2
ACAA1	CD5L
ACADM	ALPI
ACADM	CASQ2
ACADM	CA6
ACADM	BPIFB1
ACADM	ATXN10
ACADM	AZU1
ACADM	AIDA
ACADM	ACADSB
ACADM	CD207
ACADM	CA12
ACADM	CA4
ACADM	ANXA2
ACADM	ARSB
ACADM	AFP
ACADM	CELA3A
ACADSB	CA4
ACADSB	CA12
ACADSB	ANKMY2
ACADSB	B3GNT7
ACADSB	CD207
ACADSB	ACADM
ACADSB	AIDA
ACADSB	ART5
ACADSB	ALPI
ACADSB	ARG2
ACADSB	CD276
ACADSB	CD14
ACADSB	AGR2
ACADSB	BSG
ACADSB	BTN2A1
ACAN	CACNA1H
ACAN	CEP152
ACAN	PTPRZ1
ACAN	LPA
ACAN	ARHGEF12
ACAN	FNDC1
ACAN	CAMSAP1
ACAN	ARID4B
ACAN	ADGRB3
ACAN	TET2
ACAN	ARHGEF5
ACAN	COL5A1
ACAN	LTBP2
ACAN	ARHGEF10
ACAN	AMOT
ACBD4	FMNL1
ACBD4	HEXIM1
ACBD4	NSF
ACBD4	HEXIM2-AS1
ACBD4	MAP3K14
ACBD4	FMNL1-DT
ACBD4	KANSL1
ACBD4	HIGD1B
ACBD4	EFTUD2
ACBD4	GOSR2
ACBD4	LRRC37A4P
ACBD4	BPTF
ACBD4	PYGO1
ACBD4	WNT9B
ACBD4	WNT3
ACE	ANPEP
ACE	TLR3
ACE	CD109
ACE	ACE2
ACE	CD101
ACE	ATRN
ACE	ACTN4
ACE	MDGA1
ACE	ADGRE2
ACE	ACOX1
ACE	AOC3
ACE	ADGRE5
ACE	AOC1
ACE	CNTN2
ACE	AFP
ACE2	TLR3
ACE2	AFP
ACE2	ARSB
ACE2	ACOX1
ACE2	ATXN10
ACE2	ALPI
ACE2	ANPEP
ACE2	ALPP
ACE2	C1S
ACE2	B4GAT1
ACE2	BTN2A1
ACE2	CD101
ACE2	BPIFB1
ACE2	ADGRE2
ACE2	AOC1
ACHE	BCHE
ACHE	CES1
ACHE	CES1
ACHE	CES2
ACHE	ACOT13
ACHE	SIAE
ACHE	PTH
ACHE	PTH
ACHE	NT5C3A
ACHE	DTD1
ACHE	CES3
ACHE	GABRA4
ACHE	CRISP2
ACHE	PGLYRP2
ACHE	BCHE
ACHE	CES1
ACHE	CES1
ACHE	CES2
ACHE	ACOT13
ACHE	SIAE
ACHE	PTH
ACHE	PTH
ACHE	NT5C3A
ACHE	DTD1
ACHE	CES3
ACHE	GABRA4
ACHE	CRISP2
ACHE	PGLYRP2
ACOT13	BCHE
ACOT13	CRISP2
ACOT13	CGA
ACOT13	CES3
ACOT13	CA13
ACOT13	ARG1
ACOT13	ATP6V1G1
ACOT13	SIAE
ACOT13	ANXA3
ACOT13	PROK1
ACOT13	ATP6V1G2
ACOT13	AKR1C4
ACOT13	ATOX1
ACOT13	ATP1B2
ACOT13	B2M
ACOX1	CD36
ACOX1	ANXA10
ACOX1	ACY1
ACOX1	ACE2
ACOX1	AMDHD2
ACOX1	ARSB
ACOX1	AMY2B
ACOX1	AMY2A
ACOX1	ASRGL1
ACOX1	B3GAT3
ACOX1	ANXA2
ACOX1	AFP
ACOX1	BLMH
ACOX1	ATP1B2
ACOX1	ATXN10
ACP1	ACYP1
ACP1	BOLA2
ACP1	CA1
ACP1	CA2
ACP1	ANXA1
ACP1	AARSD1
ACP1	CELA2A
ACP1	CA3
ACP1	BLVRB
ACP1	CD63
ACP1	AHSP
ACP1	ARF6
ACP1	APOM
ACP1	AK1
ACP1	ATP6V1G1
ACP5	ARG2
ACP5	ALPP
ACP5	BTN3A2
ACP5	B4GAT1
ACP5	ARSB
ACP5	CD5L
ACP5	ALPI
ACP5	ATXN10
ACP5	CD38
ACP5	BSG
ACP5	ANXA2
ACP5	CD274
ACP5	CCL20
ACP5	ANXA10
ACP5	BTN2A1
ACP6	CASP1
ACP6	MSMB
ACP6	PRELP
ACP6	MANSC4
ACP6	CPA4
ACP6	ADAMTS15
ACP6	ULBP2
ACP6	SERPINF1
ACP6	MATN3
ACP6	CLEC1B
ACP6	TNFSF14
ACP6	SOD3
ACP6	TNFAIP8L2
ACP6	FST
ACP6	OLR1
ACRBP	CD6
ACRBP	BIN2
ACRBP	BRD3
ACRBP	APLP1
ACRBP	AMOTL2
ACRBP	BANK1
ACRBP	AZI2
ACRBP	AFAP1
ACRBP	BRSK2
ACRBP	CD300LG
ACRBP	BMP6
ACRBP	ANKRA2
ACRBP	BAIAP2
ACRBP	ARL13B
ACRBP	ARMCX2
ACRV1	CD34
ACRV1	BIN2
ACRV1	ACRBP
ACRV1	C1QTNF9
ACRV1	CBX2
ACRV1	CD6
ACRV1	CAMLG
ACRV1	BANK1
ACRV1	ARMCX2
ACRV1	CD300LG
ACRV1	BAG4
ACRV1	AMOTL2
ACRV1	AZI2
ACRV1	CDC25A
ACRV1	CD2AP
ACSL1	C1S
ACSL1	AMY1A
ACSL1	CCT5
ACSL1	AMY2A
ACSL1	AMY2B
ACSL1	FUCA1
ACSL1	CEACAM16
ACSL1	AFP
ACSL1	BPIFB1
ACSL1	AFM
ACSL1	A1BG
ACSL1	APOH
ACSL1	CFHR4
ACSL1	AMDHD2
ACSL1	CASQ2
ACTA2	BHMT2
ACTA2	ARG1
ACTA2	AMY2B
ACTA2	AMY2A
ACTA2	AMDHD2
ACTA2	B3GAT3
ACTA2	AMY1A
ACTA2	ATP1B3
ACTA2	CCT5
ACTA2	ANXA1
ACTA2	ATP6V1G1
ACTA2	CD63
ACTA2	ANXA3
ACTA2	ATP1B1
ACTA2	ASRGL1
ACTN2	C7
ACTN2	ACTN4
ACTN2	C1S
ACTN2	ACSL1
ACTN2	BMPER
ACTN2	ASAH2
ACTN2	A1BG
ACTN2	ADAMTS4
ACTN2	AP1G2
ACTN2	ADGRG1
ACTN2	MEP1B
ACTN2	CDHR2
ACTN2	AFM
ACTN2	AFP
ACTN2	CD4
ACTN4	ACTN2
ACTN4	TLR3
ACTN4	AP1G2
ACTN4	CD101
ACTN4	C1S
ACTN4	ACE2
ACTN4	C7
ACTN4	AFP
ACTN4	MDGA1
ACTN4	ADGRE5
ACTN4	AOC1
ACTN4	ADAMTS4
ACTN4	CBS
ACTN4	ACSL1
ACTN4	ASAH1
ACVRL1	AIFM1
ACVRL1	CD14
ACVRL1	BTN1A1
ACVRL1	ATG16L1
ACVRL1	AHSA1
ACVRL1	BGN
ACVRL1	ANGPTL4
ACVRL1	CD46
ACVRL1	AMN
ACVRL1	B3GNT7
ACVRL1	CD276
ACVRL1	ANKMY2
ACVRL1	ASGR1
ACVRL1	ATP1B4
ACVRL1	AMBP
ACY1	CD36
ACY1	AGXT
ACY1	ANXA10
ACY1	AKR1C4
ACY1	CA13
ACY1	BLMH
ACY1	ACOX1
ACY1	CDKN2D
ACY1	ATP1B2
ACY1	ACY3
ACY1	ADH4
ACY1	ASRGL1
ACY1	ADA
ACY1	ASS1
ACY1	B2M
ACY3	ACY1
ACY3	CDKN2D
ACY3	ACP5
ACY3	BTN3A2
ACY3	ADA
ACY3	CCL20
ACY3	CD36
ACY3	ANXA10
ACY3	CD5L
ACY3	AGXT
ACY3	ALPP
ACY3	CALB1
ACY3	ACOX1
ACY3	AKR1C4
ACY3	B4GAT1
ACYP1	ACP1
ACYP1	BOLA2
ACYP1	CA1
ACYP1	CA2
ACYP1	AARSD1
ACYP1	BLVRB
ACYP1	AHSP
ACYP1	CELA2A
ACYP1	ANXA1
ACYP1	CA3
ACYP1	AK1
ACYP1	CD63
ACYP1	CCL11
