gene_symbol	MTI_continuous	GNN_EXERCISE_SUP_MTI_MULTI_pred	GNN_EXERCISE_SUP_MTI_MULTI_multi_prob	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly_scaled	GNN_EXERCISE_SUP_MTI_MULTI_hybrid_score	GNN_EXERCISE_SUP_MTI_MULTI_rank	GNN_EXERCISE_SUP_MTI_MULTI_rank_scaled	MR_nominal_any
ARL17B	38.5171043355387	33.401703	0.995389	1	1.0	13.483332	1	1.0	True
LRRC37A2	13.5154462310465	12.638831	0.99992776	3	0.9993370898243288	8.781119	3	0.9993370898243288	True
LINC02210	17.2101068939265	12.487545	0.9814866	4	0.9990056347364932	8.632625	4	0.9990056347364932	True
FAM215B	14.9591297054248	11.019109	0.9782413	11	0.996685449121644	8.278013	5	0.9986741796486576	True
MGAT3	12.2495126375238	11.633102	0.9420145	7	0.9980112694729865	8.193893	7	0.9980112694729865	True
TNFRSF13B	10.3373043351176	11.633102	0.9420145	6	0.998342724560822	8.193893	8	0.9976798143851509	True
RUNX3	12.2495126375238	11.633102	0.9420145	9	0.9973483592973152	8.193893	9	0.9973483592973152	True
RUNX1	12.2495126375238	11.633102	0.9420145	8	0.9976798143851509	8.193893	10	0.9970169042094796	True
ST6GAL1	12.3326659655218	11.360442	0.94811344	10	0.9970169042094796	8.169487	11	0.996685449121644	True
C2	12.346873477862	10.952428	0.952806	13	0.9960225389459728	8.105548	12	0.9963539940338084	True
B4GALT1	11.577645724859	10.952428	0.952806	14	0.9956910838581372	8.105548	13	0.9960225389459728	True
HIVEP2	11.577645724859	10.974451	0.9513837	12	0.9963539940338084	8.10177	14	0.9956910838581372	True
KANSL1	11.0330778166377	8.63153	0.96131945	35	0.9887305270135897	7.629433	15	0.9953596287703016	True
SERPINA1	7.39235605457556	7.9719267	0.95934427	58	0.9811070599933709	7.4669466	16	0.995028173682466	True
NSFP1	10.9559527200256	7.131909	0.97932625	102	0.9665230361286046	7.3991256	17	0.9946967185946304	True
NRBP1	6.38465141319341	7.7754426	0.9489801	74	0.9758037785880014	7.3580976	18	0.9943652635067949	True
GRAMD1B	4.92140776023704	7.7754426	0.9489801	73	0.9761352336758369	7.3580976	19	0.9940338084189593	True
HEXIM1	-8.03234181072612	7.142048	0.9612289	100	0.9671859463042758	7.289533	20	0.9937023533311237	True
DIPK1A	7.52474926623193	6.30297	0.9658806	144	0.9526019224395095	7.127134	22	0.9930394431554525	True
HP	9.26775791441855	5.985988	0.9668666	156	0.9486244613854823	7.061015	23	0.9927079880676168	True
FMNL1-DT	3.44004086002295	2.2144551	0.97111994	543	0.8203513423931057	6.22807	26	0.99171362280411	True
MAP3K14	2.82895367994636	2.2144556	0.97111994	542	0.8206827974809413	6.22807	27	0.9913821677162744	True
C3	-2.41235756343544	2.0768607	0.96568066	565	0.8130593304607225	6.1630898	28	0.9910507126284388	True
B3GAT1	4.67338035032511	1.7258297	0.975382	622	0.7941663904540934	6.143103	29	0.9907192575406032	True
NMT1	-4.67876398020242	1.8747612	0.9655821	591	0.8044414981769971	6.1164365	30	0.9903878024527677	True
DCAKD	2.12137225925567	0.50147986	0.9772036	841	0.7215777262180975	5.8754306	31	0.9900563473649321	True
GOSR2	4.11906559041021	1.8874509	0.9190175	590	0.8047729532648327	5.8314037	32	0.9897248922770965	True
BCL7B	-0.580427935551045	-0.037985608	0.96926683	1050	0.6523036128604575	5.7034516	33	0.9893934371892609	True
MGAT5B	-0.148457143399578	-0.037985608	0.96926683	1051	0.6519721577726219	5.7034516	34	0.9890619821014253	True
CRHR1	0.511236991286704	0.035380706	0.95693654	1019	0.662578720583361	5.6439238	35	0.9887305270135897	True
CCPG1	1.74306512081887	3.3770657	0.8208687	385	0.8727212462711302	5.563888	36	0.988399071925754	True
PDK1	0.0	-0.43897444	0.9508263	1206	0.600596619158104	5.498073	37	0.9880676168379184	True
C17orf69	0.0	0.47941613	0.9119764	854	0.7172688100762347	5.467083	38	0.9877361617500828	True
C17orf46	0.0	0.26611465	0.91893446	932	0.691415313225058	5.4615116	39	0.9874047066622472	True
KLC2	0.0	-0.75758505	0.95615065	1286	0.5740802121312563	5.4584084	40	0.9870732515744116	True
PLEKHM1	-4.26636717952285	-2.248794	0.9986375	1652	0.4527676499834272	5.381385	43	0.9860788863109049	True
MRFAP1	0.0	-0.8321816	0.9454189	1303	0.568445475638051	5.3750553	45	0.9854159761352337	True
C17orf58	0.0	0.621406	0.8916019	810	0.731852833941001	5.37345	46	0.9850845210473981	True
SLC25A40	0.0	-1.1061262	0.9545959	1358	0.5502154458070931	5.369389	47	0.9847530659595625	True
DBF4	0.0	-1.1061262	0.9545959	1357	0.5505469008949287	5.369389	48	0.9844216108717269	True
TMEM161B	0.809108060598194	1.981778	0.8404011	573	0.8104076897580378	5.3667836	49	0.9840901557838913	True
SH3D20	0.0	1.2565234	0.86222297	704	0.7669870732515744	5.336485	50	0.9837587006960556	True
RAB1B	0.0	-1.3544594	0.9554158	1432	0.5256877693072589	5.3178816	51	0.98342724560822	True
SLC30A4	0.0	-1.2419662	0.95028514	1392	0.5389459728206828	5.3117857	52	0.9830957905203845	True
KIAA1267	0.0	0.4947062	0.88343865	844	0.7205833609545906	5.2941084	53	0.9827643354325489	True
C15orf21	0.0	0.7386277	0.87054425	785	0.740139211136891	5.269949	54	0.9824328803447133	True
IMP5	0.0	0.28404427	0.8774087	926	0.6934040437520715	5.2088294	55	0.9821014252568777	True
RP11-136O12	-1.31387607498363	-1.9527196	0.9579449	1582	0.47596950613191913	5.1972227	56	0.9817699701690421	True
LOC100128977	0.0	0.3085631	0.8606723	914	0.6973815048060987	5.1109285	58	0.9811070599933709	True
MAPT	-5.05272478765307	-2.588055	0.9663559	1756	0.418296320848525	5.1044865	59	0.9807756049055353	True
OSBPL2	-0.0141040653457948	-2.334087	0.95643234	1680	0.44348690752403047	5.1009855	60	0.9804441498176997	True
HEXIM2-AS1	-3.84459904689836	-2.7690418	0.9618461	1796	0.4050381173351011	5.035367	61	0.9801126947298641	True
FMNL1	0.134426678101667	-1.8454449	0.9233809	1551	0.48624461385482265	5.0079417	62	0.9797812396420285	True
LOC100133991	0.0	-0.16272338	0.8527131	1105	0.6340735830294995	4.9543443	64	0.9791183294663574	True
PLEKHM1P	0.0	0.8781607	0.8100446	757	0.7494199535962877	4.927649	65	0.9787868743785217	True
ARHGAP27	-4.8931986704361	-4.043195	0.98422354	2214	0.26648989061982103	4.8834515	66	0.9784554192906861	True
CCDC43	0.678797377411107	-0.951454	0.8654199	1323	0.5618163738813391	4.853223	67	0.9781239642028505	True
LOC645323	0.0	-0.2287252	0.8360426	1130	0.6257872058336096	4.836228	68	0.9777925091150149	True
TMEM121	-3.62436959186063	-3.969193	0.9669871	2194	0.273118992376533	4.793732	69	0.9774610540271793	True
NPEPPS	0.741363667929068	1.3020244	0.77230537	694	0.7703016241299304	4.790862	70	0.9771295989393437	True
LOC100130148	0.0	-0.40755635	0.8328564	1195	0.6042426251242956	4.7757854	71	0.9767981438515081	True
MGC57346	0.0	0.17021976	0.8014437	970	0.6788200198873052	4.7131815	72	0.9764666887636725	True
SIRT1	-5.40726625540609	-5.4759693	0.999311	2503	0.1706993702353331	4.650322	73	0.9761352336758369	True
RSL24D1	0.862358744161329	0.24138804	0.77851176	942	0.688100762346702	4.5875998	74	0.9758037785880014	True
PIGB	0.45002582114391	0.23684882	0.77853906	943	0.6877693072588664	4.586735	75	0.9754723235001658	True
CACNA2D4	3.63036585812775e-05	-0.3684669	0.7960751	1177	0.6102088167053364	4.55726	76	0.9751408684123302	True
ZNF280D	0.457075115958968	0.23665093	0.7675928	944	0.6874378521710308	4.5190053	78	0.974477958236659	True
