Gene	PC1_nCohorts	PC1_mean_loading	PC1_max_abs_loading	PC1_present_UKB	PC1_present_CKB	PC1_present_NHS1	PC1_organs_collapsed	PC1_consensus2	PC1_consensus3	PC1_abs_mean_loading
BGN	3	-0.029165673184777	0.0732969211264329	1	1	1	Artery	1	1	0.029165673184777
PRKG1	3	-0.00977103818057278	0.0257105393324679	1	1	1	Artery	1	1	0.00977103818057278
HTR1B	2	-0.00908646725136724	0.041950441728038	1	1	0	Artery	1	0	0.00908646725136724
CRLF1	3	0.0228816449626351	0.141124697029402	1	1	1	Artery	1	1	0.0228816449626351
MFGE8	3	0.0313426391826661	0.097023614309025	1	1	1	Artery	1	1	0.0313426391826661
FN1	3	0.0433248366980408	0.101613285195516	1	1	1	Artery	1	1	0.0433248366980408
CYTL1	3	0.0422811355015792	0.212440766996082	1	1	1	Artery	1	1	0.0422811355015792
FRZB	3	0.0667964870550192	0.171483019126851	1	1	1	Artery	1	1	0.0667964870550192
VCAN	3	0.0907698334287336	0.258525454319011	1	1	1	Artery	1	1	0.0907698334287336
SOST	3	0.0825369296839635	0.216882829302634	1	1	1	Artery	1	1	0.0825369296839635
OGN	3	0.0823673116108141	0.256640160443574	1	1	1	Artery	1	1	0.0823673116108141
ITGBL1	3	0.0910669139142567	0.263936182854868	1	1	1	Artery	1	1	0.0910669139142567
SUSD5	3	0.0973739560114767	0.302186979983308	1	1	1	Artery	1	1	0.0973739560114767
TNFRSF11B	3	0.0653050015706565	0.290156658809035	1	1	1	Artery	1	1	0.0653050015706565
ACAN	3	0.107152605334011	0.318801215666338	1	1	1	Artery	1	1	0.107152605334011
COMP	3	0.111501267798709	0.31435663200554	1	1	1	Artery	1	1	0.111501267798709
MCAM	3	0.0709995921209399	0.311802605561261	1	1	1	Artery	1	1	0.0709995921209399
ELN	3	0.0962268038417313	0.303502133741583	1	1	1	Artery	1	1	0.0962268038417313
EFEMP1	3	0.0935355335015526	0.341436520557614	1	1	1	Artery	1	1	0.0935355335015526
LTBP2	3	0.116229970398754	0.364034535186369	1	1	1	Artery	1	1	0.116229970398754
ENO2	3	-0.111502273463362	0.205146643967725	1	1	1	Brain	1	1	0.111502273463362
NRGN	3	-0.0846019192431183	0.199733724655533	1	1	1	Brain	1	1	0.0846019192431183
RAB33A	3	-0.087989281963753	0.193805399915133	1	1	1	Brain	1	1	0.087989281963753
PPP3R1	3	-0.11071024834523	0.188316734520904	1	1	1	Brain	1	1	0.11071024834523
DNM1	3	-0.0657066131406468	0.187896697372313	1	1	1	Brain	1	1	0.0657066131406468
SCRN1	3	-0.0945458001261823	0.18466583242558	1	1	1	Brain	1	1	0.0945458001261823
CNP	3	-0.0877787242097865	0.184510204177448	1	1	1	Brain	1	1	0.0877787242097865
QDPR	3	-0.105408412064129	0.182639242323051	1	1	1	Brain	1	1	0.105408412064129
DNM3	3	-0.0835957270096634	0.181068208121089	1	1	1	Brain	1	1	0.0835957270096634
SNAP25	3	-0.0779668644818605	0.179438969245151	1	1	1	Brain	1	1	0.0779668644818605
MAP2	3	-0.0819654296541843	0.169506918455737	1	1	1	Brain	1	1	0.0819654296541843
MAPK9	3	-0.0984189840479948	0.167566742706839	1	1	1	Brain	1	1	0.0984189840479948
MOG	3	-0.0733010132013195	0.192008600613164	1	1	1	Brain	1	1	0.0733010132013195
BRSK2	3	-0.0901046159337104	0.149760558608493	1	1	1	Brain	1	1	0.0901046159337104
SEZ6L	3	-0.0756400115919811	0.190659052491109	1	1	1	Brain	1	1	0.0756400115919811
PVALB	3	-0.0766366625967168	0.146170733383323	1	1	1	Brain	1	1	0.0766366625967168
SV2A	3	-0.0717330622875435	0.138404741372024	1	1	1	Brain	1	1	0.0717330622875435
SLITRK1	3	-0.0728657430193164	0.190732532680578	1	1	1	Brain	1	1	0.0728657430193164
BCAN	3	-0.0622110851508299	0.187042392409763	1	1	1	Brain	1	1	0.0622110851508299
PTPRR	3	-0.0648445078271454	0.184633607561151	1	1	1	Brain	1	1	0.0648445078271454
LRTM2	3	-0.0228116524572303	0.249879382843028	1	1	1	Brain	1	1	0.0228116524572303
POLR2F	3	-0.0965076734978456	0.132817935846238	1	1	1	Brain	1	1	0.0965076734978456
KLK6	3	-0.0589122001475908	0.174475495087281	1	1	1	Brain	1	1	0.0589122001475908
CRYM	3	-0.0414353917222338	0.125118415977719	1	1	1	Brain	1	1	0.0414353917222338
SEZ6	3	-0.0383325731056862	0.176533528095405	1	1	1	Brain	1	1	0.0383325731056862
OMG	3	-0.059041973936031	0.153403209821634	1	1	1	Brain	1	1	0.059041973936031
NCAN	3	-0.0527777934011692	0.152044496171956	1	1	1	Brain	1	1	0.0527777934011692
GPR158	3	-0.0194119378592783	0.232299355503112	1	1	1	Brain	1	1	0.0194119378592783
GFRA3	3	-0.0382649942137702	0.16023090089571	1	1	1	Brain	1	1	0.0382649942137702
SYT1	3	-0.0455358625665136	0.179425448943915	1	1	1	Brain	1	1	0.0455358625665136
CNTNAP2	3	-0.0556761732668909	0.135718056224534	1	1	1	Brain	1	1	0.0556761732668909
THY1	3	-0.0659659811228161	0.157828808507361	1	1	1	Brain	1	1	0.0659659811228161
ADAM22	3	-0.0518291697983315	0.148988328211351	1	1	1	Brain	1	1	0.0518291697983315
GFAP	3	-0.0347095500043802	0.100031407884831	1	1	1	Brain	1	1	0.0347095500043802
CNTN2	3	-0.0421884520078679	0.114053600057193	1	1	1	Brain	1	1	0.0421884520078679
SERPINI1	3	-0.0779389643074557	0.101226361629077	1	1	1	Brain	1	1	0.0779389643074557
RAB37	3	-0.0204962697350501	0.0959960092756054	1	1	1	Brain	1	1	0.0204962697350501
SPOCK1	3	-0.0216451379300635	0.144413904094441	1	1	1	Brain	1	1	0.0216451379300635
NEFL	3	-0.0281234475699042	0.0892407872806434	1	1	1	Brain	1	1	0.0281234475699042
VWC2L	3	0.00234370829317355	0.220766241913214	1	1	1	Brain	1	1	0.00234370829317355
CLEC2L	3	0.00914634048038634	0.213025406775811	1	1	1	Brain	1	1	0.00914634048038634
TMPRSS5	3	-0.0218502372961877	0.106606733122716	1	1	1	Brain	1	1	0.0218502372961877
CNTN1	3	-0.0575341045560922	0.102531807973046	1	1	1	Brain	1	1	0.0575341045560922
LHPP	3	-0.057866792542385	0.0720787314144038	1	1	1	Brain	1	1	0.057866792542385
PAIP2B	3	-0.0175266060862664	0.0695962820111751	1	1	1	Brain	1	1	0.0175266060862664
RBFOX3	3	-0.0349940520142421	0.103238523433185	1	1	1	Brain	1	1	0.0349940520142421
TNR	3	-0.0366693881706699	0.103637420826659	1	1	1	Brain	1	1	0.0366693881706699
ABCA2	3	-0.0260068416592125	0.111300073717603	1	1	1	Brain	1	1	0.0260068416592125
SCN2B	3	0.0155546586545708	0.223967164486207	1	1	1	Brain	1	1	0.0155546586545708
MEGF10	3	-0.026407570920015	0.088235472969351	1	1	1	Brain	1	1	0.026407570920015
STX1B	3	-0.0460676411880961	0.0866013937075174	1	1	1	Brain	1	1	0.0460676411880961
CHL1	3	-0.0440148003690139	0.0853809461653982	1	1	1	Brain	1	1	0.0440148003690139
GRIK2	3	-0.022069250504356	0.0833993196295128	1	1	1	Brain	1	1	0.022069250504356
NPTX1	3	-0.0334924146116169	0.08365794627293	1	1	1	Brain	1	1	0.0334924146116169
KIAA1549L	3	-0.0100773165835532	0.120277694336742	1	1	1	Brain	1	1	0.0100773165835532
GPR37	3	-0.0308582704607107	0.073776500455141	1	1	1	Brain	1	1	0.0308582704607107
MEGF11	3	-0.0331208715832305	0.0984663472890578	1	1	1	Brain	1	1	0.0331208715832305
NRXN3	3	-0.0208170235060169	0.0800979634520613	1	1	1	Brain	1	1	0.0208170235060169
ENOPH1	3	-0.0286410130008452	0.0618513994484145	1	1	1	Brain	1	1	0.0286410130008452
ANGPTL7	2	-0.072437345318423	0.0831936821624707	1	1	0	Brain	1	0	0.072437345318423
VSNL1	3	-0.0187955008080996	0.0829942079753148	1	1	1	Brain	1	1	0.0187955008080996
CRTAM	3	-0.0383907643423944	0.0857461280814539	1	1	1	Brain	1	1	0.0383907643423944
