outcome,build,nsnp,beta,se,pval,fdr
CLC_Q05315_OID20126_v1_Cardiometabolic,GRCh37,84,-0.467014738109073,0.00912682363099155,0,0
CLEC4C_Q8WTT0_OID20547_v1_Inflammation,GRCh37,84,-0.472398318191406,0.00736639901125773,0,0
CREG1_O75629_OID21515_v1_Oncology,GRCh37,84,0.389281530993416,0.00887010697512155,0,0
CSF1R_P07333_OID30681_v1_Inflammation_II,GRCh37,84,-0.379529259221293,0.00890091281117031,0,0
CTBS_Q01459_OID30710_v1_Inflammation_II,GRCh37,84,0.491178443818257,0.00825880758657566,0,0
CTSL_P07711_OID20228_v1_Cardiometabolic,GRCh37,84,0.428367506398089,0.00900352628709352,0,0
CTSO_P43234_OID20660_v1_Inflammation,GRCh37,84,0.435481855444017,0.00901927697764524,0,0
CTSZ_Q9UBR2_OID20365_v1_Cardiometabolic,GRCh37,84,0.363300639467154,0.0088353096042688,0,0
DSG4_Q86SJ6_OID21325_v1_Oncology,GRCh37,84,0.78891144156984,0.00903741777223681,0,0
FABP9_Q0Z7S8_OID20501_v1_Inflammation,GRCh37,84,0.390331892519535,0.00891957883512242,0,0
FASLG_P48023_OID20665_v1_Inflammation,GRCh37,84,-0.349127979020736,0.00839348478134701,0,0
FCRL1_Q96LA6_OID20172_v1_Cardiometabolic,GRCh37,84,-0.369897126436127,0.00885441848437957,0,0
FCRL2_Q96LA5_OID20639_v1_Inflammation,GRCh37,84,-0.51176812168659,0.00812896145057231,0,0
FCRL5_Q96RD9_OID21111_v1_Neurology,GRCh37,84,-0.451840286866401,0.0083987736229932,0,0
FOLR2_P14207_OID21062_v1_Neurology,GRCh37,84,-0.363874277756465,0.0088767421395362,0,0
FOLR3_P41439_OID21485_v1_Oncology,GRCh37,84,-0.293522762925595,0.00718210633962276,0,0
GFRAL_Q6UXV0_OID31091_v1_Neurology_II,GRCh37,84,-0.324262039788776,0.00837063353256931,0,0
GGH_Q92820_OID20416_v1_Cardiometabolic,GRCh37,84,0.535773539932313,0.00876892703410568,0,0
GLB1_P16278_OID20949_v1_Neurology,GRCh37,84,0.474410316376718,0.00884674085814446,0,0
GNAS_O95467_OID31008_v1_Neurology_II,GRCh37,84,-0.399908393618904,0.00929074777255493,0,0
GUSB_P08236_OID20296_v1_Cardiometabolic,GRCh37,84,0.417442571624359,0.00864926760823213,0,0
HS6ST2_Q96MM7_OID30481_v1_Inflammation_II,GRCh37,84,-0.403205587879221,0.00907424662694559,0,0
HSD11B1_P28845_OID20575_v1_Inflammation,GRCh37,84,0.500390602962651,0.00929132954485983,0,0
ICAM3_P32942_OID20277_v1_Cardiometabolic,GRCh37,84,-0.542887693131997,0.00885650151416215,0,0
ICAM4_Q14773_OID20578_v1_Inflammation,GRCh37,84,0.387682307302856,0.00793220856429579,0,0
IDO1_P14902_OID31050_v1_Neurology_II,GRCh37,84,-0.354410957517781,0.00899090462797704,0,0
IDO1_P14902_OID31474_v1_Oncology_II,GRCh37,84,-0.356225070432035,0.00902092816212326,0,0
IGLC2_P0DOY2_OID30740_v1_Inflammation_II,GRCh37,84,-0.456879186292188,0.00922279156961618,0,0
IL32_P24001_OID20605_v1_Inflammation,GRCh37,84,-0.374583973665027,0.00896467217373252,0,0
LAMP3_Q9UQV4_OID20638_v1_Inflammation,GRCh37,84,-0.390879782705163,0.00877230134303125,0,0
LRRC25_Q8N386_OID21333_v1_Oncology,GRCh37,84,-0.403838329448352,0.0086068990297312,0,0
LRRC37A2_A6NM11_OID31440_v1_Oncology_II,GRCh37,84,8.99802285277149,0.00921239736251839,0,0
LRTM2_Q8N967_OID31020_v1_Neurology_II,GRCh37,84,-0.35133387184684,0.0090874853340146,0,0
MAN2B2_Q9Y2E5_OID30306_v1_Cardiometabolic_II,GRCh37,84,0.286630181485209,0.00662809083814841,0,0
MSLN_Q13421_OID21380_v1_Oncology,GRCh37,84,-0.386026846107201,0.00843332497838587,0,0
NAAA_Q02083_OID20931_v1_Neurology,GRCh37,84,0.389955201256793,0.00799151846006037,0,0
NAGPA_Q9UK23_OID30643_v1_Inflammation_II,GRCh37,84,-0.391819392324625,0.00905714347926641,0,0
NCAN_O14594_OID21055_v1_Neurology,GRCh37,84,-0.354439596365508,0.00860754963748828,0,0
PINLYP_A6NC86_OID30651_v1_Inflammation_II,GRCh37,84,0.362113067062445,0.00790560102415476,0,0
PLB1_Q6P1J6_OID31110_v1_Neurology_II,GRCh37,84,0.323145083820521,0.00667680550605785,0,0
POSTN_Q15063_OID30410_v1_Cardiometabolic_II,GRCh37,84,0.348994964852721,0.00898360904747631,0,0
PRDX2_P32119_OID30668_v1_Inflammation_II,GRCh37,84,0.356259698019419,0.00897293214349856,0,0
RNASE3_P12724_OID20203_v1_Cardiometabolic,GRCh37,84,-0.438342764758198,0.00910854543153312,0,0
ROBO2_Q9HCK4_OID21007_v1_Neurology,GRCh37,84,-0.358180047464452,0.00867962492141495,0,0
SCGB1A1_P11684_OID20688_v1_Inflammation,GRCh37,84,-0.621676210386154,0.00873407372184503,0,0
SFTPD_P35247_OID20214_v1_Cardiometabolic,GRCh37,84,-0.480044991045869,0.00699929774455656,0,0
SMPD1_P17405_OID21028_v1_Neurology,GRCh37,84,0.426016829595002,0.00852561756071763,0,0
SMPDL3A_Q92484_OID20676_v1_Inflammation,GRCh37,84,0.319353879782489,0.00748453599851455,0,0
SUSD2_Q9UGT4_OID21098_v1_Neurology,GRCh37,84,-0.378578477312894,0.00839141252923969,0,0
TFRC_P02786_OID20369_v1_Cardiometabolic,GRCh37,84,0.527857557532851,0.00859603480532701,0,0
TNFRSF13B_O14836_OID20702_v1_Inflammation,GRCh37,84,-0.52742254737787,0.00917233111118504,0,0
TNFRSF17_Q02223_OID30589_v1_Inflammation_II,GRCh37,84,-0.455121659669982,0.00932482274594291,0,0
TSHB_P01222_OID20129_v1_Cardiometabolic,GRCh37,84,0.365519392642938,0.00933114869104464,0,0
