gene_symbol	protein_MR_beta	protein_MR_se	protein_MR_p	protein_nsnp	sc_MR_beta	sc_MR_se	sc_MR_p	sc_MR_FDR	sc_nsnp	glycan_id_best	glycan_MR_beta	glycan_MR_se	glycan_MR_p	glycan_MR_FDR	glycan_nsnp	cpg_CpG_best	cpg_MR_beta	cpg_MR_se	cpg_MR_p	cpg_nsnp	cpg_MR_FDR	protein_beta_std	cpg_beta_std	glycan_beta_std	sc_beta_std	MTI_n_layers	MTI_sumsq	MTI_score	pLDDT_mean	pLDDT_sd	pLDDT_low_frac	pLDDT_high_frac	n_atoms	protein_present	sc_present	glycan_present	cpg_present	uniprot_id	pan_family_main	pan_class_main	pan_pathway_main	pan_mf_main	pan_family_pc1	pan_family_pc2	pan_family_pc3	pan_class_pc1	pan_class_pc2	pan_class_pc3	pan_pw_pc1	pan_pw_pc2	pan_pw_pc3	pan_mf_pc1	pan_mf_pc2	pan_mf_pc3	af_len	af_plddt_mean	af_plddt_sd	af_plddt_frac70	af_plddt_frac90	interpro_pc1	interpro_pc2	interpro_pc3	uniprot_pc1	uniprot_pc2	uniprot_pc3	protein_MR_beta_fixed	protein_MR_se_fixed	protein_MR_p_fixed	protein_nsnp_fixed	protein_MR_source_file	protein_MR_FDR_BH	protein_MR_sig_FDR05	protein_MR_FDR_BH_fixed	protein_MR_sig_FDR05_fixed
A1BG	0.0330893683379388	0.0039057765593103	2.41411790146536e-17	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.158511058843249	NA	NA	NA	1	0.025125755775608	0.158511058843249	86.6267311209825	15.4522728735714	0.0501698458322446	0.893911680167233	3827	1	0	0	0	P04217	ALPHA-1B-GLYCOPROTEIN	immunoglobulin receptor superfamily	NA	NA	2.20175219172308e-12	-0.0514002615368512	-4.98264864017353e-14	-0.0695311720011356	-0.0693449697134523	0.0466272423575267	NA	NA	NA	NA	NA	NA	495	86.46668686868689	15.43087409992731	0.8929292929292929	0.6222222222222222	0.0585800916417288	-0.0152791155241383	-0.0106555226564129	-0.0198957395931465	0.0207497627159491	-0.0025694304630678	0.0365936756233023	0.0087161564847653	2.68839613127633e-5	84	A1BG_P04217_OID30771_v1_Inflammation_II_MR_LDaware_overlap.tsv	4.173772626175082e-17	TRUE	3.52943626951895e-5	TRUE
AAMDC	-0.0098979810835179	0.0039057765593103	0.0112707504385282	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0474152134285383	NA	NA	NA	1	0.0022482024644738	0.0474152134285383	97.7838034188034	1.62850118414726	0	1	936	1	0	0	0	Q9H7C9	MTH938 DOMAIN-CONTAINING PROTEIN	NA	NA	protein binding	2.3108957886611097e-12	-0.0514002615361725	-4.9326018678916e-14	NA	NA	NA	NA	NA	NA	0.239372036697794	-0.100909844278204	-0.351031983367951	122	97.73098360655734	1.6367557925119507	1	0.9918032786885246	-0.0060839202827176	2.459115690962e-4	-0.0042089522948269	0.0181730790559896	-9.893111774312e-4	0.0165249787415239	-0.0131748702889436	0.0084232128943179	0.117790657243564	84	AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II_MR_LDaware_overlap.tsv	0.012920971468623168	TRUE	0.1289948967663182	FALSE
AARSD1	0.228543396767881	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09481255257973	NA	NA	NA	1	1.19861452528614	1.09481255257973	93.7706514249922	6.84905003303091	0	0.985593485750078	3193	1	0	0	0	Q9BTE6	ALANYL-TRNA EDITING PROTEIN AARSD1	RNA metabolism protein	NA	nucleotide binding	1.76694895663992e-12	-0.0514002615363129	-1.21083938635716e-14	-0.0777461769758295	-0.15795018114081	0.149339363824353	NA	NA	NA	0.266754717150139	-0.242397240990389	-0.392535917227441	412	93.60621359223298	6.971782811163072	0.9854368932038836	0.8276699029126213	-0.0061203237767263	2.516583338656e-4	-0.004300425226959	0.0221998259259069	-0.0053153127991873	0.0144779687123013	0.23344328045091	0.0089528219923574	7.037460538776169e-150	84	AARSD1_Q9BTE6_OID21311_v1_Oncology_MR_LDaware_overlap.tsv	0	TRUE	9.317597753339648e-149	TRUE
ABCA2	-0.0690321724859435	0.0039057765593103	6.60646627711361e-70	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.33069119492531	NA	NA	NA	1	0.10935666640113	0.33069119492531	71.459559907349	19.300735235824	0.1521899347231	0.660928616550853	18996	1	0	0	0	Q9BZC7	ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 2	ATP-binding cassette (ABC) transporter	NA	nucleotide binding	1.44221566083096e-12	-0.0514002615388531	-4.82262039951467e-14	-0.0659706232343109	-0.057395783673592	0.0371595787479595	NA	NA	NA	0.343142402237641	-0.188313993982776	-0.54386502915198	2435	70.76981519507198	19.612583606854745	0.6476386036960986	0.0960985626283367	-0.0067650318981119	4.588583030037e-4	-0.0061920796655366	0.0014681333886898	-0.0261486747643701	6.631086683544e-4	-0.0702482575204763	0.0095101034140365	1.50520458632866e-13	84	ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II_MR_LDaware_overlap.tsv	2.4425142935533754e-69	TRUE	2.55991120398092e-13	TRUE
ABHD14B	0.032640865419234	0.0039057765593103	6.42927383930558e-17	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156362553866904	NA	NA	NA	1	0.0244492482517804	0.156362553866904	97.0827837666455	5.28458347575507	0	0.982244768547876	1577	1	0	0	0	Q96IU4	PROTEIN-LYSINE DEACYLASE ABHD14B-RELATED	NA	NA	protein binding	1.98888427398597e-12	-0.0514002615367102	-1.02723409354696e-13	NA	NA	NA	NA	NA	NA	-4.66584709119174	0.990194064583009	-0.715597305032576	210	96.90923809523812	5.522557757181533	0.9809523809523808	0.9476190476190476	-0.0062885094318052	2.772293871708e-4	-0.0046967700077728	0.0261489850797899	-0.0053796856191229	0.0026765368639789	0.0305084553072124	0.0091789092526921	8.881384457186e-4	84	ABHD14B_Q96IU4_OID20921_v1_Neurology_MR_LDaware_overlap.tsv	1.1032678171751573e-16	TRUE	0.00109131814582963	TRUE
ABL1	0.0107456829783798	0.0039057765593103	0.0059372250330083	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0514760381492058	NA	NA	NA	1	0.0026497825035384	0.0514760381492058	64.6785618419532	28.3827292173019	0.471364109684138	0.486752285086197	8643	1	0	0	0	P00519	TYROSINE-PROTEIN KINASE ABL1	non-receptor tyrosine protein kinase	Axon guidance mediated by Slit/Robo	nucleotide binding	2.20069054095578e-12	-0.0514002615368709	-4.98010147549492e-14	-0.0726746375043808	-0.0912371975550089	0.0653637931973991	-0.613634263009841	-0.0230660865550776	0.0845286795991255	-1.00779789237788	-0.57175817726973	6.4408874012278	1130	63.36613274336276	28.237387927909133	0.4628318584070796	0.3690265486725663	0.0018181238520672	0.1096676006981568	0.0653649815435605	0.0261414928863433	-0.0293538078827166	-0.0362214977375358	0.0089445504762507	0.0092378846743088	0.332921224216427	84	ABL1_P00519_OID21280_v1_Oncology_MR_LDaware_overlap.tsv	0.006909821040361022	TRUE	0.35150534359054975	FALSE
ABO	-0.0280197387522734	0.0039057765593103	7.287882075332339e-13	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.134225543769046	NA	NA	NA	1	0.018016496600096	0.134225543769046	NA	NA	NA	NA	NA	1	0	0	0	P16442	HISTO-BLOOD GROUP ABO SYSTEM TRANSFERASE	glycosyltransferase	NA	nucleotide binding	2.20054829363075e-12	-0.0514002615368702	-4.99583253859095e-14	-0.066762597771031	-0.0597821407323451	0.0389937447327199	NA	NA	NA	0.212280960355269	-0.108230360100316	-0.16730620401348	354	89.12629943502833	20.058946075548192	0.8389830508474576	0.8163841807909604	-0.0061370020579975	2.509666214143e-4	-0.0043296504247971	-0.0098326788211835	0.0094107220222588	-2.315650776227e-4	-0.029771161195289	0.0060553968331275	8.81198587622971e-7	84	ABO_P16442_OID30675_v1_Inflammation_II_MR_LDaware_overlap.tsv	1.1442548707254082e-12	TRUE	1.2178569206814338e-6	TRUE
ABRAXAS2	-0.0737452255015259	0.0039057765593103	1.63257185273386e-79	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.353268568305623	NA	NA	NA	1	0.124798681352705	0.353268568305623	NA	NA	NA	NA	NA	1	0	0	0	Q15018	BRISC COMPLEX SUBUNIT ABRAXAS 2	NA	NA	protein binding	1.9682081048758e-12	-0.0514002615368696	-2.32670026227924e-14	NA	NA	NA	NA	NA	NA	0.239695340128637	-0.12941719667309	-0.333620127577207	415	73.61561445783131	25.37021763199384	0.6337349397590362	0.4771084337349398	-0.0060897073379689	2.466319812124e-4	-0.0042216879424181	0.0268085238861614	-0.0084402776308014	-4.022116852809e-4	-0.0757092880119478	0.0094630414262255	1.23891057757914e-15	84	ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II_MR_LDaware_overlap.tsv	6.772569225418829e-79	TRUE	2.2332438457655296e-15	TRUE
ACAA1	-0.183711387499618	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.880049635784037	NA	NA	NA	1	0.774487361443617	0.880049635784037	93.928649870801	14.8399444799123	0.062984496124031	0.924418604651163	3096	1	0	0	0	P09110	3-KETOACYL-COA THIOLASE, PEROXISOMAL	acetyltransferase	NA	acetyl-CoA C-acetyltransferase activity	2.19393899718728e-12	-0.0514002615368695	-5.993125064930012e-14	16.1547083739681	0.0220811022319647	-0.0126640052539533	NA	NA	NA	-0.733763852322004	5.64310142038568	0.195252039254849	424	93.96122641509436	14.727105093646331	0.9245283018867924	0.9009433962264152	-0.0061487269126882	2.543401427717e-4	-0.0043579287043673	0.0185558461397987	-0.0023265081957578	0.0122576379292347	-0.190747185035901	0.0094662029361079	2.67284980879998e-90	84	ACAA1_P09110_OID21269_v1_Oncology_MR_LDaware_overlap.tsv	0	TRUE	1.8431526806516528e-89	TRUE
ACADM	-0.0923293173543536	0.0039057765593103	1.52546834964762e-123	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.442293660811073	NA	NA	NA	1	0.195623682393661	0.442293660811073	93.1465617359413	16.747639472097	0.0852689486552567	0.9119804400978	3272	1	0	0	0	P11310	MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL	dehydrogenase	NA	acyl-CoA dehydrogenase activity	2.17367395754092e-12	-0.0514002615368706	-8.313838131091792e-14	-0.0667241209614455	-0.0596629847167517	0.038901510978829	NA	NA	NA	0.300413839968053	-0.120415783995806	-0.392880682548928	421	93.39684085510687	16.35716110679007	0.9168646080760094	0.9097387173396676	-0.0062495879608269	2.675341573592e-4	-0.0045921475999057	0.0164877459838233	0.0149355418293576	-0.0250613857786987	-0.0952848233012864	0.0094980327049752	1.10194479000015e-23	84	ACADM_P11310_OID31277_v1_Oncology_II_MR_LDaware_overlap.tsv	9.254920555367204e-123	TRUE	2.4458925431017577e-23	TRUE
ACADSB	-0.178267105948635	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.853969390779855	NA	NA	NA	1	0.729263720388916	0.853969390779855	91.4737975441749	19.4840515402712	0.112309074573226	0.88230008984726	3339	1	0	0	0	P45954	SHORT_BRANCHED CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL	dehydrogenase	NA	short-chain 2-methyl fatty acyl-CoA dehydrogenase activity	2.20117452880558e-12	-0.0514002615368697	-5.53177535649398e-14	-0.0667241209614455	-0.0596629847167517	0.038901510978829	NA	NA	NA	0.316421852661093	-0.130132212068863	-0.426150562326263	432	91.5918518518519	19.346737051337932	0.8842592592592593	0.8819444444444444	-0.0062377665253977	2.659944227992e-4	-0.0045648631392206	0.0214825441114593	-0.0014735646922869	-2.279805627138e-4	-0.182237920826354	0.0092985871341014	1.59397129351549e-85	84	ACADSB_P45954_OID30356_v1_Cardiometabolic_II_MR_LDaware_overlap.tsv	0	TRUE	1.0294721915192726e-84	TRUE
ACAN	0.120452676113342	0.0039057765593103	7.717377623018248e-209	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.577015585073514	NA	NA	NA	1	0.33294698541773	0.577015585073514	53.3151566750095	26.269097930502	0.521869219889022	0.301381786530301	18382	1	0	0	0	P16112	AGGRECAN CORE PROTEIN	extracellular matrix glycoprotein	NA	extracellular matrix structural constituent	2.20073390904268e-12	-0.0514002615368695	-4.99054163198922e-14	-0.0661561793601566	-0.0579426601994339	0.0375775038991056	NA	NA	NA	0.261907557816972	-0.160395945431647	-0.396972758873721	2530	51.89096442687747	25.53140203862731	0.2739130434782608	0.1525691699604743	0.0553814461949035	-0.0385152315666682	0.006453791106047	-0.0218533745690351	0.0223515395029687	-0.0193972203070102	0.124300192343921	0.008692098964153	2.17663305231236e-46	84	ACAN_P16112_OID20159_v1_Cardiometabolic_MR_LDaware_overlap.tsv	7.77194493954464e-208	TRUE	7.66452702463182e-46	TRUE
ACBD4	NA	NA	NA	NA	-0.449379233868742	0.0562912746849415	1.4269582796918602e-15	3.389025914268171e-15	78	NA	NA	NA	NA	NA	NA	cg27395066	NA	NA	NA	2	NA	NA	NA	NA	-0.227043620480075	1	0.0515488056007005	0.227043620480075	NA	NA	NA	NA	NA	0	1	0	0	Q8NC06	ACYL-COA-BINDING DOMAIN-CONTAINING PROTEIN 4	transfer/carrier protein	NA	fatty-acyl-CoA binding	2.20066105065669e-12	-0.0514002615368695	-5.90248576331023e-14	-0.0811990737410256	-0.219155046838696	0.253495489844974	NA	NA	NA	0.238910350094199	0.0357808622792743	-0.392119579951946	268	64.42175373134329	23.78595571106204	0.4701492537313433	0.2313432835820895	-0.0061628797553314	2.856133715883e-4	-0.004389580620243	0.0170734402780185	-0.0032040766457336	0.0137556652585656	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACE	-0.217413828610591	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.04149755378426	NA	NA	NA	1	1.08471715453859	1.04149755378426	91.376279047799	12.7769032396005	0.0360853958057812	0.946438692612885	10586	1	0	0	0	P12821	ANGIOTENSIN-CONVERTING ENZYME	metalloprotease	NA	actin binding	2.20066452010364e-12	-0.0514002615368695	1.88215097018139e-15	-0.067831784939089	-0.0632341082026867	0.0416959716298266	NA	NA	NA	0.178897206621019	-0.5103620521429	2.18426850023364	1306	90.94450229709028	13.237523703001049	0.942572741194487	0.8047473200612557	-0.0060781607973619	2.452018757106e-4	-0.0041964110824923	-0.0246211238164196	-0.0035627649568144	-0.0264374127488411	-0.227198523925583	0.009333871296668	7.168207758911139e-131	84	ACE_P12821_OID30696_v1_Inflammation_II_MR_LDaware_overlap.tsv	0	TRUE	7.62305788979787e-130	TRUE
ACE2	-0.169188842605291	0.0039057765593103	0	84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.810480946989847	NA	NA	NA	1	0.656879365433559	0.810480946989847	91.1250237766528	13.1263064135767	0.0440251572327044	0.927289461573861	6519	1	0	0	0	Q9BYF1	ANGIOTENSIN-CONVERTING ENZYME 2	metalloprotease	NA	virus receptor activity	2.20065411176279e-12	-0.0514002615368696	-4.98134759756655e-14	-0.067831784939089	-0.0632341082026867	0.0416959716298266	NA	NA	NA	0.210127579511216	-0.243303550994515	-0.212015664214178	805	90.6659378881988	13.560448114441687	0.9217391304347826	0.7813664596273292	-0.0060839148252046	2.459095150316e-4	-0.0042089148150378	-0.023733412307352	-0.0118356595112031	-0.04583080613169	-0.175077569993712	0.0084113219757576	3.19778349314801e-96	84	ACE2_Q9BYF1_OID20105_v1_Cardiometabolic_MR_LDaware_overlap.tsv	0	TRUE	2.3521474138488692e-95	TRUE
